id,question,answer
0,遇到 PPPoE 拨号错误代码 「629」、「691」怎么办呢,"一般是密码错误，请尝试登录 <a href=""http://auth.xjtu.edu.cn""> http://auth.xjtu.edu.cn 流量查询</a> ，如可正常登陆表明密码正确，此时可查询是否欠费，不能登录则表示密码输入有误。<br><br>
购买包月包学期套餐的同学，<a href=""http://nethelp.xjtu.edu.cn"">请访问 http://nethelp.xjtu.edu.cn 学生网络-选择套餐-认证日志</a>，查询拨号错误具体原因<br>
<br>
更新:<br>
多地登陆或者非正常下线也可能引发此问题，系统认为用户仍然在线，不允许再次拨号，此时可不进行任何操作，等待一段时间，系统会判定用户下线，然后再尝试进行拨号。<br>
<br>
更新:<br>
以下为网信中心官方回复：<br>
「Error 629」连接被远程计算机关闭（同「Error 678」）<br>
问题原因：远程计算机没有响应，断开连接。ISP 服务器故障，网卡故障，非正常关机造成网络协议出错<br>  
解决方法：重新建立新连接，检查线路<br>
<br>
「Error 691」：由于域上的用户名或密码无效而拒绝访问。<br> 
问题原因：<br>
1) 可能是用户名、密码输入错误。<br>
2) 上次的拨号连接非正常断线导致后台系统没有收到用户下线信息而没有在用户在线表中将用户删除，造成 BRAS（PPPOE接入服务器）认为你的帐号重复拨号。<br>
3) 该帐号因为欠费、宽带到期，帐号被锁。<br>
4) BRAS 将此帐号挂死；<br>

解决方法：<br>
1）首先确认用户名、密码是否输入错误，请检查用户名和密码的拼写及大小写，在 <a href=""http://auth.xjtu.edu.cn"">流量查询</a> 网页登录验证密码是否正确（查流量登录密码即为外网认证密码），如密码不正确，在 <a href=""http://auth.xjtu.edu.cn"">流量查询</a> 网页使用 <code>找回密码</code> 解决；<br>
2）等待 <b>十五分钟</b> 后再进行拨号；<br>
3）致电网信中心 82667777 解决。"
1,你们是一个怎样的组织呢？与网信中心的关系是怎样的?,"**西交网管会**是由网络信息中心指导的学生社团组织，成立于2014年，成立仅3年就获评校甲级社团。

社团成员以志愿者的身份负责学生区网络日常维修，不属于学校官方机构，也不是电脑维修员，更不是电信、联通、移动的客服。我们的学生网管都是普通的在校学生，帮助大家解决一部分力所能及的网络问题。如果网络问题处理不及时希望大家能互相理解，同时欢迎大家将问题反馈给我们，我们将努力提升服务质量。"
2,遇到 PPPoE 拨号错误代码 1062 怎么办呢,"通常是由于系统中一些服务项被关闭导致的。可以尝试以下方法：<br>
<ol class=""fg-red""><li>按下 <code>Win+R</code> 组合键，在运行命令中输入 <code>services.msc</code> 后回车；</li>
<li>在服务界面，右侧窗口找到 <code>Device Install Sevise </code>以及 <code>Device Setup Manager</code> 两项服务，看看是否为自动启动，如过不是，双击设置为自动启动后，再进行拨号连接。</li>
<li>如果仍不能奏效，则需要重新安装系统哦，如果觉得麻烦，可购置路由器，使用路由器进行拨号，也可以解决这个问题，注意此时电脑不需要再进行 PPPoE 拨号。</li></ol>"
3,遇到 PPPoE 拨号错误代码 720 怎么办呢,如果宿舍中只有你一个人存在这个问题，那么很有可能是你的电脑系统的 PPPoE 部分存在问题，需要重新安装网卡驱动或者重装系统哦，如果觉得麻烦，可购置路由器，使用路由器进行拨号，也可以解决这个问题，注意此时电脑不需要再进行 PPPoE 拨号。
4,遇到PPPoE拨号错误代码651怎么办呢,"这个问题需要分情况讨论：<br>
1.如果你们整个宿舍都提示这个错误，那么请移步我们的报修页面报修；<br>
2.如果你们宿舍只有你一个人的电脑提示这个错误，那么可能是你网线或者电脑系统的问题哦，尝试通过卸载乱七八糟的软件或者重装网卡驱动解决，如果还是解决不了可能需要重装系统或者使用路由器进行拨号哦<br>
<br>
更新:<br>
以下为网络中心官方回复<br>
Error 651（Vista 和WIN 7系统提示此错误，同错误678）<br>
问题原因：Windows 处于安全模式下，或其他错误<br>
解决方法：出现该错误时，进行重拨，就可以报告出新的具体错误代码"
5,你们的工作范围是怎样的呢？电信、联通或移动的问题可以找你们解决吗?,"我们主要负责维护**学生宿舍区校园网**的网络，办公区及教研室的网络问题还请直接联系网络与信息中心解决，电信等运营商相关的问题也不在我们的维修范围之内。  
- 办公区、教研室网络 - 请咨询学校网络与信息中心，电话：029-82667777，地址：钱学森图书馆东侧网络与信息中心
- 电信（翼讯） - 请咨询电信客服，营业厅地址：东9对面电信营业厅
- 移动、联通（新路） - 套餐问题请加QQ群6610335咨询，返费问题请咨询运营商客服，移动营业厅地址：仲英书院楼下移动营业厅，联通营业厅地址：中二楼一楼西南侧"
6,我的校园网流量记录有问题，你们可以帮我查一下吗,我们很想帮大家查询这个问题，但是目前我们还没有查看计费系统后台的权限，如果你对自己的校园网流量计量结果存在异议，请拨打网信中心的电话029-82667777进行咨询。
7,为什么 PPPoE 拨号的帐号和 10.6.8.2 外网认证的帐号不同也可以上网？计费算哪一个呢？,教育网PPPoE 拨号仅仅是获取 IP 地址，计费是按 <code>10.6.8.2</code> 外网认证的帐号，所以同学们不用教育网时记得点下线或注销哦～
8,"登录提示""you are already logged in, access denied""怎么办","一般是非正常下线所致，不要做任何操作等待20分钟，系统会判定用户下线，此时就可以登陆了。如果仍不能解决，则可能是个人账号密码泄露，建议修改密码。注意修改密码后并不能立即使盗号者下线，只能使其下线后无法再通过原密码登陆。<br>
<br>
更新:<br>
目前网络中心已增加了强制下线功能，出现此提示可在登录页面点击“注销”，进行远程注销。"
9,我的校园网认证密码忘记了应该怎么办呢？,"请访问 <a href=""http://auth.xjtu.edu.cn"">http://auth.xjtu.edu.cn 进行密码重置</a> 。在网站上点击“找回密码”，输入本人的学号和邮箱，密码会发送到学生邮箱中，学号和邮箱必须一一对应。"
